userid,ImageID,rater1,rater2,rater3
116,1,3,2,2
162,2,5,5,5
126,3,3,2,1
143,4,2,1,3
183,5,3,3,2
119,6,4,4,1
131,7,5,3,5
148,8,5,3,3
133,9,3,2,4
178,10,3,2,1
200,11,5,4,4
117,12,3,1,2
123,13,5,4,5
170,14,4,3,2
136,15,3,2,1
198,16,NA,1,1
198,17,5,3,5
164,18,2,2,4
186,19,4,3,2
138,20,1,2,1
163,21,5,3,4
199,22,3,1,3
156,23,5,2,5
194,24,3,2,2
171,25,4,2,3
148,26,4,2,4
163,27,4,2,3
189,28,NA,1,1
120,29,3,3,2
137,30,3,2,2
200,31,3,2,5
139,32,4,4,5
166,33,5,4,4
192,34,4,2,4
200,35,2,1,2
165,36,2,1,1
112,37,3,2,2
104,38,3,1,2
162,39,4,4,5
156,40,4,4,5
197,41,2,2,1
173,42,4,2,4
166,43,5,3,5
152,44,3,4,3
125,45,2,1,1
197,46,3,1,4
154,47,3,2,2
103,48,3,1,1
169,49,2,2,4
151,50,4,2,4
106,51,4,2,5
190,52,4,3,5
132,53,5,3,5
122,54,5,2,2
113,55,2,2,3
131,56,2,2,2
122,57,4,4,5
165,58,NA,3,1
107,59,3,2,5
127,60,3,2,2
128,61,2,1,5
189,62,3,3,5
143,63,2,2,2
175,64,5,3,5
160,65,5,4,4
176,66,5,4,5
112,67,5,2,4
199,68,3,2,3
185,69,4,4,2
105,70,1,1,1
145,71,2,1,1
132,72,3,2,1
163,73,4,5,4
123,74,5,4,5
157,75,2,2,3
160,76,5,3,5
159,77,3,2,2
144,78,NA,2,1
104,79,2,2,2
150,80,3,2,2
139,81,2,2,2
112,82,4,2,4
145,83,5,3,2
144,84,3,1,1
155,85,4,4,4
179,86,4,3,4
170,87,5,5,4
188,88,5,4,4
106,89,4,3,4
122,90,5,5,5
145,91,5,5,5
197,92,4,3,5
177,93,2,2,1
144,94,NA,3,1
133,95,NA,1,2
107,96,4,3,5
173,97,4,3,4
150,98,4,5,3
120,99,3,3,4
141,100,2,1,3
117,101,2,1,2
174,102,2,2,1
136,103,4,2,3
195,104,4,3,4
102,105,2,2,1
181,106,2,1,1
162,107,3,3,3
153,108,5,5,4
