Drawing,Factor,Exclude,LoginID,Image_Name,rater1,rater2,rater3,rater4,rater5,rater6
37,-0.149,0,300@cram,w37.s98.u1971q3,3,2,3,4,2,1
38,-0.792,0,300@cram,w37.s98.u1971q4,2,2,2,2,1,2
39,-0.584,0,300@cram,w37.s98.u1971q13,3,2,2,2,1,2
40,-1.485,0,300@cram,w37.s98.u1971q15,1,1,1,2,1,1
41,-0.028,0,300@cram,w37.s98.u1971q17,2,3,2,3,2,3
42,-0.263,0,300@cram,w37.s98.u1971q19,2,3,2,2,3,1
43,-0.131,0,300@cram,w37.s98.u1971q56,3,3,2,2,2,2
44,0.838,0,302@CRAM,w37.s98.u1975q3,5,3,3,2,3,3
45,-0.625,0,302@CRAM,w37.s98.u1975q4,2,2,3,1,1,3
46,1,0,302@CRAM,w37.s98.u1975q13,4,3,3,2,3,5
47,0.293,0,302@CRAM,w37.s98.u1975q15,4,3,3,2,1,4
48,-0.892,0,302@CRAM,w37.s98.u1975q17,1,2,3,2,1,2
49,0.207,0,302@CRAM,w37.s98.u1975q19,3,3,1,2,3,3
50,-0.339,0,302@CRAM,w37.s98.u1975q56,2,3,2,2,2,2
51,-0.196,0,303@cram,w37.s98.u1978q3,3,2,1,3,1,4
52,1.316,0,303@cram,w37.s98.u1978q4,5,3,4,2,3,5
53,-1,0,303@cram,w37.s98.u1978q13,1,2,2,2,1,2
54,-1.3,0,303@cram,w37.s98.u1978q15,1,1,1,2,1,2
55,-0.239,0,303@cram,w37.s98.u1978q17,2,2,3,2,2,3
56,0.057,0,303@cram,w37.s98.u1978q19,3,3,5,3,1,2
57,-0.005,0,303@cram,w37.s98.u1978q56,3,3,2,3,2,2
58,-1.418,0,304@cram,w37.s98.u1979q3,1,2,1,1,1,1
59,1.486,0,304@cram,w37.s98.u1979q4,4,3,4,5,3,5
60,0.568,0,304@cram,w37.s98.u1979q13,5,3,3,4,1,3
61,1.639,0,304@cram,w37.s98.u1979q15,4,3,3,5,4,5
62,0.771,0,304@cram,w37.s98.u1979q17,5,3,2,5,1,4
63,-0.566,0,304@cram,w37.s98.u1979q19,3,2,1,3,1,2
64,0.667,0,304@cram,w37.s98.u1979q56,4,3,1,4,3,3
65,-1.611,0,305@cram,w37.s98.u1982q3,1,1,1,1,1,1
66,-0.9,0,305@cram,w37.s98.u1982q4,2,2,1,2,1,2
67,-1.277,0,305@cram,w37.s98.u1982q13,2,1,1,2,1,1
68,-0.692,0,305@cram,w37.s98.u1982q15,3,2,1,2,1,2
69,-0.113,0,305@cram,w37.s98.u1982q17,3,3,1,3,2,2
70,-1.485,0,305@cram,w37.s98.u1982q19,1,1,1,2,1,1
71,-0.589,0,305@cram,w37.s98.u1982q56,2,2,1,3,1,3
72,1.467,0,306@CRAM,w37.s98.u1983q3,5,4,3,4,3,4
73,0.054,0,306@CRAM,w37.s98.u1983q4,3,3,2,2,2,3
74,NA,1,306@CRAM,w37.s98.u1983q13,NA,2,n/a,1,NA,3
75,-1,0,306@CRAM,w37.s98.u1983q15,1,2,2,2,1,2
76,-0.639,0,306@CRAM,w37.s98.u1983q17,2,2,1,2,2,2
77,0.329,0,306@CRAM,w37.s98.u1983q19,4,3,2,4,2,2
78,1.067,0,306@CRAM,w37.s98.u1983q56,4,3,3,4,3,4
79,2.021,0,307@cram,w37.s98.u1984q3,5,4,4,4,4,5
80,1.436,0,307@cram,w37.s98.u1984q4,4,3,4,4,4,4
81,2.707,0,307@cram,w37.s98.u1984q13,5,5,5,5,5,5
82,2.339,0,307@cram,w37.s98.u1984q15,5,5,4,5,4,5
83,0.859,0,307@cram,w37.s98.u1984q17,3,3,3,4,3,4
84,1.52,0,307@cram,w37.s98.u1984q19,4,4,3,4,4,4
85,1.678,0,307@cram,w37.s98.u1984q56,4,4,4,5,3,5
86,-1.185,0,308@cram,w37.s98.u1985q3,1,2,2,2,1,1
87,0.967,0,308@cram,w37.s98.u1985q4,3,3,4,4,3,4
88,-0.046,0,308@cram,w37.s98.u1985q13,2,3,3,2,2,3
89,-1.485,0,308@cram,w37.s98.u1985q15,1,1,1,2,1,1
90,-0.7,0,308@cram,w37.s98.u1985q17,1,3,3,2,1,2
91,-0.892,0,308@cram,w37.s98.u1985q19,2,3,1,2,1,1
92,-0.144,0,308@cram,w37.s98.u1985q56,2,2,2,3,3,2
93,-0.607,0,100@cram,w37.s98.u1987q3,2,2,2,2,1,3
94,0.315,0,100@cram,w37.s98.u1987q4,3,3,2,2,3,3
95,0.665,0,100@cram,w37.s98.u1987q13,3,4,3,3,2,4
96,0.08,0,100@cram,w37.s98.u1987q15,2,3,3,3,2,3
97,-0.195,0,100@cram,w37.s98.u1987q17,1,3,3,1,2,4
98,-0.684,0,100@cram,w37.s98.u1987q19,3,3,1,2,1,1
99,-0.131,0,100@cram,w37.s98.u1987q56,3,3,2,2,2,2
100,2.021,0,101@CRAM,w37.s98.u1988q3,5,4,4,4,4,5
101,0.68,0,101@CRAM,w37.s98.u1988q4,4,3,3,3,2,4
102,1.443,0,101@CRAM,w37.s98.u1988q13,4,4,4,4,4,3
103,0.992,0,101@CRAM,w37.s98.u1988q15,3,4,3,5,3,3
104,0.441,0,101@CRAM,w37.s98.u1988q17,3,3,2,3,3,3
105,-0.163,0,101@CRAM,w37.s98.u1988q19,2,2,3,2,3,2
106,0.256,0,101@CRAM,w37.s98.u1988q56,3,3,2,3,3,2
107,-1.151,0,102@CRAM,w37.s98.u1989q3,2,1,1,3,1,1
108,-0.138,0,102@CRAM,w37.s98.u1989q4,3,2,2,2,2,3
109,-0.959,0,102@CRAM,w37.s98.u1989q13,2,2,1,3,1,1
110,-1.084,0,102@CRAM,w37.s98.u1989q15,1,1,3,2,1,2
111,-1.611,0,102@CRAM,w37.s98.u1989q17,1,1,1,1,1,1
112,-1.21,0,102@CRAM,w37.s98.u1989q19,2,2,1,1,1,1
113,-0.892,0,102@CRAM,w37.s98.u1989q56,1,2,3,2,1,2
114,-0.733,0,103@CRAM,w37.s98.u1992q3,2,2,2,1,1,3
115,0.914,0,103@CRAM,w37.s98.u1992q4,4,3,4,4,2,4
116,-0.543,0,103@CRAM,w37.s98.u1992q13,3,1,3,3,1,2
117,-1.192,0,103@CRAM,w37.s98.u1992q15,1,1,2,2,1,2
118,-0.239,0,103@CRAM,w37.s98.u1992q17,2,2,3,2,2,3
119,0.441,0,103@CRAM,w37.s98.u1992q19,3,3,2,3,3,3
120,-0.346,0,103@CRAM,w37.s98.u1992q56,2,2,2,2,2,3
121,NA,1,ID#@CRAM,w37.s98.u1993q3,4,4,3,3,3,4
122,NA,1,ID#@CRAM,w37.s98.u1993q4,5,4,5,NA,4,4
123,NA,1,ID#@CRAM,w37.s98.u1993q13,4,4,4,3,3,4
124,NA,1,ID#@CRAM,w37.s98.u1993q15,3,3,4,2,2,3
125,NA,1,ID#@CRAM,w37.s98.u1993q17,3,3,4,2,3,2
126,NA,1,ID#@CRAM,w37.s98.u1993q19,2,2,4,2,2,1
127,NA,1,ID#@CRAM,w37.s98.u1993q56,3,2,3,3,3,3
128,0.495,0,105@CRAM,w37.s98.u1994q3,4,3,3,3,2,3
129,0.477,0,105@CRAM,w37.s98.u1994q4,4,3,4,2,2,3
130,1.71,0,105@CRAM,w37.s98.u1994q13,5,4,4,3,4,4
131,-1.192,0,105@CRAM,w37.s98.u1994q15,1,1,2,2,1,2
132,2.254,0,105@CRAM,w37.s98.u1994q17,5,4,5,5,4,5
